"Date","Acidity, (H+)","Alkalinity","Bicarbonate","Calcium","Carbon dioxide","Carbonate","Chloride","Color","Depth","Fluoride","Hardness, Ca, Mg","Hardness, non-carbonate","Iron","Magnesium","Manganese","Nitrate","Orthophosphate","pH","Potassium","Silica","Sodium","Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)]","Sodium plus potassium","Sodium, percent total cations","Specific conductance","Sulfate","Temperature, water","Total dissolved solids","Aluminum","Ammonia and ammonium","Barometric pressure","Inorganic nitrogen (nitrate and nitrite)","Kjeldahl nitrogen","Nitrite","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Organic Nitrogen","Oxygen","Zinc","Depth to water level below land surface","Depth, from ground surface to well water level","Flow rate, instantaneous","Oxidation reduction potential (ORP)","Temperature, air, deg C","Turbidity","Antimony","Arsenic","Barium","Beryllium","Boron","Bromide","Cadmium","Chromium","Cobalt","Copper","Cyanide","Lead","Lithium","Mercury","Molybdenum","Nickel","Organic carbon","Phosphate-phosphorus","Phosphorus","Selenium","Silver","Strontium","Thallium","Uranium","Total suspended solids","Hexachlorobutadiene"
1968-11-14,NA,140,163,24,1.1,4,181,3,1000,0.3,120,0,1100,14,250,0.43,0,8.4,1,12,120,4.8,120,69,861,4.8,10,302.543333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-04-10,0.00002,224,NA,26,8.7,NA,60,NA,NA,0.7,99.5,NA,330,8.4,160,NA,NA,7.75,1.4,12,88,3.84,NA,65,596.5,2.3,11.5,167.225,20,0.0115,730,NA,NA,NA,NA,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-22,0.00002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,646,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-12,0.00002,207,252,NA,8.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,656,NA,11.3,NA,NA,NA,748,NA,NA,NA,NA,NA,0.55,NA,9.41,2.87,4,-32.05,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-11,0.00002,226,258,NA,8.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,645,NA,11.5,NA,NA,NA,732,NA,NA,NA,NA,NA,1.1,NA,6.44,1.96,5,-35,21,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-10,0.00003,224,272,NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,626,NA,11.1,NA,NA,NA,733,NA,NA,NA,NA,NA,1.1,NA,6.44,1.96,4,-29,7,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-16,0.00003,222.5,257,38.3,13,0,68.5,NA,NA,0.325,144,NA,450,11.75,139,NA,0.037,7.9,1.655,14.05,90.3,3.27,NA,57,634,2.75,11.3,354.833333333333,NA,0.30325,728,NA,NA,NA,NA,NA,1.1,1.455,6.28,1.91,2,18.85,20.6,0.4,NA,0.88,525,NA,95.5,338.5,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.092,0.04,2,NA,825,NA,NA,NA,NA
2016-11-15,0.00001,188,230,38.5,5.4,0,NA,NA,NA,NA,144,NA,420,11.5,167.5,NA,0.0336666666666667,7.8,1.715,14.65,88.35,3.2,NA,57,618,NA,11.2,179.245,NA,0.30325,734,NA,NA,NA,NA,NA,1.1,11.9,6.75,2.06,4,-33.6,-1.1,0.9,NA,0.485,453,NA,89,332,NA,NA,NA,2.67,NA,NA,10,NA,NA,1.255,NA,0.061,0.05,NA,NA,815,NA,NA,NA,NA
2017-05-30,0.00002,228.5,NA,37.9,7.5,NA,60.5,NA,NA,0.33,141,NA,395,11.6,143.5,NA,0.0336666666666667,7.9,1.615,14,91.05,3.34,NA,58,632,2.85,11.6,351.83,NA,0.30325,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,2.5,-146,NA,0.6,NA,0.725,532.5,NA,89,333.333333333333,NA,NA,NA,1.63,NA,NA,7,NA,0.66,NA,NA,0.061,0.05,NA,NA,805,NA,NA,NA,NA
2017-10-30,0.00003,230,139,30.8,6.7,0.2,59,NA,NA,0.23,122,7,405,10.4,179,NA,0.037,7.85,1.575,13.85,93.05,3.88,NA,64,624,3.4,11.3,317.49,NA,0.28025,728,NA,NA,NA,NA,NA,1.1,1.29,NA,NA,3.8,-122,8.1,NA,NA,0.705,532.5,NA,101.5,322.666666666667,NA,NA,NA,0.88,NA,NA,6.5,NA,0.76,0.645,0.595,0.092,0.055,NA,NA,790,NA,NA,NA,NA
