"Date","Acidity, (H+)","Alkalinity","Bicarbonate","Calcium","Carbon dioxide","Carbonate","Chloride","Color","Depth to water level below land surface","Depth, from ground surface to well water level","Fluoride","Hardness, Ca, Mg","Hardness, non-carbonate","Iron","Magnesium","Manganese","Nitrate","Orthophosphate","pH","Potassium","Silica","Sodium","Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)]","Sodium plus potassium","Sodium, percent total cations","Specific conductance","Sulfate","Total dissolved solids","Flow rate, instantaneous","Temperature, water","Aluminum","Ammonia and ammonium","Antimony","Arsenic","Barium","Barometric pressure","Beryllium","Boron","Bromide","Cadmium","Chromium","Cobalt","Copper","Cyanide","Kjeldahl nitrogen","Lead","Lithium","Mercury","Molybdenum","Nickel","Nitrite","Organic carbon","Organic Nitrogen","Oxidation reduction potential (ORP)","Oxygen","Phosphate-phosphorus","Phosphorus","Selenium","Silver","Strontium","Temperature, air, deg C","Thallium","Turbidity","Uranium","Zinc","Hexachlorobutadiene","Hydroxide","Total suspended solids"
1971-11-16,0.00001,95,116,22,1.9,0,1.9,1,82,25,0.1,100,5,20,11,0,0.305,0.08,8,1.1,5.5,2.5,0.1,3.6,5,186,1.9,63.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-14,0.00002,NA,NA,NA,NA,NA,NA,NA,73.44,22.4,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,235,NA,NA,2.5,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-28,0.00001,106.5,NA,24.7,2.5,NA,6.5,NA,77.29,23.6,NA,111,4.5,NA,12.75,NA,0.48,NA,7.95,0.87,6.325,3.37,0.14,NA,6,227,4.75,93.0666666666667,3,11.3,NA,NA,NA,0.53,19.2,736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,50.15,NA,NA,NA,NA,12,-6.7,NA,1,NA,1.615,NA,NA,NA
2015-05-07,0.00001,105,128,NA,2.6,0,NA,NA,74.45,22.7,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,264,NA,NA,4,11.3,NA,NA,NA,NA,NA,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,47.15,NA,NA,NA,NA,NA,18.3,NA,1.2,NA,NA,NA,NA,NA
2015-11-24,0.00001,112.5,136,23.55,2.4,0,8.1,NA,72,21.9,NA,109,NA,NA,12.05,NA,0.5,NA,8.05,0.81,5.89,3.94,0.16,NA,7,237,4.9,93.0666666666667,4,9.9,NA,NA,NA,NA,20.9,739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.5,49.55,NA,NA,NA,NA,12,4.4,NA,0.1,NA,1.97,NA,NA,NA
2016-05-19,0.00002,116.5,148,26.1,3.6,0.5,8.3,NA,73.37,22.4,0.04,122,11,NA,13.85,NA,0.525,NA,8,0.87,6.395,4.165,0.17,NA,7,239,5,204.876666666667,3.5,10.4,NA,NA,NA,NA,20.35,735,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.5,51.15,NA,NA,NA,NA,17.5,NA,NA,0.5,NA,0.78,248,0,NA
2016-11-03,0.00001,92,111,26.85,1.6,0,NA,NA,75.28,22.9,NA,121,29,NA,13.2,NA,0.53,NA,8,0.966,6.41,4.005,0.15,NA,6,237,NA,71.095,4,10,NA,NA,NA,NA,20.45,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,54.5,NA,NA,NA,NA,17.5,18.3,NA,0.15,NA,4.675,NA,0,NA
2017-04-12,0.00001,128,NA,28,3,NA,7.8,NA,NA,NA,0.04,129,14,12,14.15,NA,0.57,NA,8.05,0.8205,6.365,4.055,0.16,NA,6,245,5.3,106.743333333333,4,10.1,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.225,NA,NA,NA,177,10.1,NA,NA,NA,NA,18,NA,NA,0.6,NA,NA,249,NA,NA
2017-11-06,0.00003,110,94.9,27.65,4,0.2,9.7,NA,NA,NA,0.04,130,34,NA,14.35,NA,0.59,0.0536666666666667,7.9,0.867,6.375,5.2,0.2,NA,8,253,5.05,90.3966666666667,3.8,9.9,NA,NA,NA,NA,23.1,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA,NA,127,51.75,0.083,NA,NA,NA,18,NA,NA,NA,NA,NA,254,NA,NA
2018-04-09,0.00001,99.35,96,28.8,1,0.6,21,NA,NA,NA,0.04,132,34,NA,14.55,NA,0.61,NA,8.15,0.979,6.415,9.68,0.37,NA,14,273,5.95,114.08,2.7,9.8,NA,NA,NA,NA,24.65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,51.25,NA,NA,NA,NA,18,NA,NA,0.1,NA,NA,296,NA,NA
2018-10-23,0.00001,100.85,99.7,25.25,2.3,0.3,11,NA,65.13,19.9,0.04,119,19,NA,13.45,3.125,0.525,NA,8.05,0.9135,6.54,6.245,0.25,NA,10,258,5.1,84.06,2.7,10,NA,NA,NA,NA,22.6,730,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA,6.5,NA,NA,2.825,NA,NA,NA,158,68.45,NA,NA,NA,NA,12.5,14.5,NA,0.9,NA,NA,266,NA,NA
2019-04-02,0.00002,110.5,123,27.55,3.2,0.3,9.3,NA,54.6,16.6,0.04,128,19.5,NA,14.1,0.28,0.47,NA,7.85,0.9955,6.775,5.625,0.22,NA,9,256,4.95,99.4033333333333,3,9.8,NA,NA,NA,NA,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.641,NA,NA,NA,NA,251,57.9,NA,NA,NA,NA,17.5,NA,NA,23,NA,NA,255,NA,NA
2019-10-08,0.00001,102.7,116,24.55,2.5,0.4,9.1,NA,48.47,14.8,0.04,114,10,NA,12.95,NA,0.485,NA,8.05,0.9545,3.561,5.64,0.23,NA,10,227,4.5,90.3933333333333,2.2,9.8,NA,0.03675,NA,NA,21.5,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9145,1.73,NA,NA,NA,326,58.5,NA,NA,NA,NA,11.5,12.1,NA,NA,NA,NA,243,NA,NA
2020-10-08,0.00002,110,133,24.75,3.3,0.3,6.4,NA,54.72,16.7,0.045,115,5.5,NA,13.35,NA,0.465,NA,7.95,0.89,6.85,4.205,0.17,NA,7,231,4.45,83.0533333333333,3,9.8,NA,NA,NA,NA,20.65,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2.18,NA,NA,NA,280,59.9,NA,NA,NA,NA,12,15.5,NA,0.9,NA,NA,238,NA,NA
2021-04-07,0.00001,108,129,25.8,2.5,0.5,6.9,NA,60.57,18.5,NA,120,12.5,NA,13.6,NA,0.475,NA,7.8,0.871,6.805,3.865,0.15,NA,6,240,4.55,88.3933333333333,2.9,9.9,NA,NA,NA,NA,21.55,731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,NA,NA,NA,NA,54.55,NA,NA,NA,NA,12,15.2,NA,NA,NA,NA,238,NA,NA
