"Month","Year","average_waterlevel","day","date"
1,1988,6.52413793103448,"01",1988-01-01
1,1989,7.29862068965517,"01",1989-01-01
1,1990,7.31096774193548,"01",1990-01-01
1,1991,5.1141935483871,"01",1991-01-01
1,1992,7.46741935483871,"01",1992-01-01
1,1993,5.84096774193548,"01",1993-01-01
1,1994,6.65967741935484,"01",1994-01-01
1,1995,5.9241935483871,"01",1995-01-01
1,1996,6.62709677419355,"01",1996-01-01
1,1997,5.65483870967742,"01",1997-01-01
1,1998,5.99870967741936,"01",1998-01-01
1,1999,6.84481481481482,"01",1999-01-01
1,2000,7.09,"01",2000-01-01
1,2001,7.51035714285714,"01",2001-01-01
1,2002,7.92785714285714,"01",2002-01-01
1,2003,8.01322580645161,"01",2003-01-01
1,2004,6.02096774193548,"01",2004-01-01
1,2005,6.39838709677419,"01",2005-01-01
1,2006,7.1458064516129,"01",2006-01-01
1,2007,6.30935483870968,"01",2007-01-01
1,2008,6.60677419354839,"01",2008-01-01
1,2009,6.84806451612903,"01",2009-01-01
1,2010,6.8041935483871,"01",2010-01-01
1,2011,6.64451612903226,"01",2011-01-01
1,2012,5.91290322580645,"01",2012-01-01
1,2013,6.29032258064516,"01",2013-01-01
1,2014,6.11870967741936,"01",2014-01-01
1,2015,6.22838709677419,"01",2015-01-01
1,2016,5.93129032258065,"01",2016-01-01
1,2017,5.8858064516129,"01",2017-01-01
1,2018,5.99129032258065,"01",2018-01-01
1,2019,5.53709677419355,"01",2019-01-01
1,2020,5.69322580645161,"01",2020-01-01
1,2021,7.14161290322581,"01",2021-01-01
2,1988,5.65931034482759,"01",1988-02-01
2,1989,6.96214285714286,"01",1989-02-01
2,1990,6.30888888888889,"01",1990-02-01
2,1991,5.41142857142857,"01",1991-02-01
2,1992,7.04793103448276,"01",1992-02-01
2,1993,5.81571428571429,"01",1993-02-01
2,1994,6.2775,"01",1994-02-01
2,1995,6.06392857142857,"01",1995-02-01
2,1996,6.30931034482759,"01",1996-02-01
2,1997,5.39107142857143,"01",1997-02-01
2,1998,5.80071428571429,"01",1998-02-01
2,1999,6.26964285714286,"01",1999-02-01
2,2000,6.9151724137931,"01",2000-02-01
2,2001,7.10892857142857,"01",2001-02-01
2,2002,7.60142857142857,"01",2002-02-01
2,2003,8.02035714285714,"01",2003-02-01
2,2004,6.31413793103448,"01",2004-02-01
2,2005,6.79857142857143,"01",2005-02-01
2,2006,6.86392857142857,"01",2006-02-01
2,2007,6.59619047619048,"01",2007-02-01
2,2008,6.32724137931034,"01",2008-02-01
2,2009,6.63178571428571,"01",2009-02-01
2,2010,6.59071428571429,"01",2010-02-01
2,2011,6.30821428571429,"01",2011-02-01
2,2012,5.84793103448276,"01",2012-02-01
2,2013,6.18821428571429,"01",2013-02-01
2,2014,6.43285714285714,"01",2014-02-01
2,2015,6.13142857142857,"01",2015-02-01
2,2016,5.89689655172414,"01",2016-02-01
2,2017,5.72571428571429,"01",2017-02-01
2,2018,5.47714285714286,"01",2018-02-01
2,2019,5.45392857142857,"01",2019-02-01
2,2020,5.48620689655172,"01",2020-02-01
2,2021,7.35035714285714,"01",2021-02-01
3,1988,5.501,"01",1988-03-01
3,1989,6.43838709677419,"01",1989-03-01
3,1990,6.2455,"01",1990-03-01
3,1991,5.46709677419355,"01",1991-03-01
3,1992,6.59129032258064,"01",1992-03-01
3,1993,5.37741935483871,"01",1993-03-01
3,1994,5.75741935483871,"01",1994-03-01
3,1995,5.75064516129032,"01",1995-03-01
3,1996,5.83806451612903,"01",1996-03-01
3,1997,4.94645161290323,"01",1997-03-01
3,1998,5.63161290322581,"01",1998-03-01
3,1999,6.20870967741936,"01",1999-03-01
3,2000,6.40096774193548,"01",2000-03-01
3,2001,6.78258064516129,"01",2001-03-01
3,2002,7.03,"01",2002-03-01
3,2003,7.21387096774194,"01",2003-03-01
3,2004,6.03612903225806,"01",2004-03-01
3,2005,6.69516129032258,"01",2005-03-01
3,2006,6.88,"01",2006-03-01
3,2007,6.09451612903226,"01",2007-03-01
3,2008,6.15451612903226,"01",2008-03-01
3,2009,6.48290322580645,"01",2009-03-01
3,2010,6.05709677419355,"01",2010-03-01
3,2011,5.57516129032258,"01",2011-03-01
3,2012,5.65903225806452,"01",2012-03-01
3,2013,5.96677419354839,"01",2013-03-01
3,2014,6.15161290322581,"01",2014-03-01
3,2015,5.75903225806452,"01",2015-03-01
3,2016,5.55,"01",2016-03-01
3,2017,5.63354838709677,"01",2017-03-01
3,2018,5.55612903225806,"01",2018-03-01
3,2019,5.62193548387097,"01",2019-03-01
3,2020,5.51354838709677,"01",2020-03-01
3,2021,6.79516129032258,"01",2021-03-01
