"Month","Year","averagestormflow","day","date"
1,1968,11767.0480549199,"01",1968-01-01
1,1969,16371.6829659904,"01",1969-01-01
1,1970,17599.3087557604,"01",1970-01-01
1,1971,12998.2718894009,"01",1971-01-01
1,1972,17409.3292370712,"01",1972-01-01
1,1973,12375.8064516129,"01",1973-01-01
1,1974,34259.9260247393,"01",1974-01-01
1,1975,15909.3039049236,"01",1975-01-01
1,1976,24432.2580645161,"01",1976-01-01
1,1977,1413.48148148148,"01",1977-01-01
1,1978,25347.2120858269,"01",1978-01-01
1,1979,31874.1935483871,"01",1979-01-01
1,1980,12931.0483870968,"01",1980-01-01
1,1981,2828.46774193548,"01",1981-01-01
1,1982,16537.9032258065,"01",1982-01-01
1,1983,15948.7866147571,"01",1983-01-01
1,1984,6133.12442396313,"01",1984-01-01
1,1985,11398.5630498534,"01",1985-01-01
1,1986,19648.1586021505,"01",1986-01-01
1,1987,10605.017921147,"01",1987-01-01
1,1988,16614.8387096774,"01",1988-01-01
1,1989,20366.5898617512,"01",1989-01-01
1,1990,32499.7653958944,"01",1990-01-01
1,1991,28602.158808933,"01",1991-01-01
1,1992,11313.5944700461,"01",1992-01-01
1,1993,29000.6382611696,"01",1993-01-01
1,1994,25490.3225806452,"01",1994-01-01
1,1995,28968.405722438,"01",1995-01-01
1,1996,55270.7096774194,"01",1996-01-01
1,1997,13120.9429280397,"01",1997-01-01
1,1998,33115.7502938488,"01",1998-01-01
1,1999,29436.4823348694,"01",1999-01-01
1,2000,11811.0080645161,"01",2000-01-01
1,2001,5977.80058651026,"01",2001-01-01
1,2002,11212.0967741935,"01",2002-01-01
1,2003,18558.1833616299,"01",2003-01-01
1,2004,22581.2365591398,"01",2004-01-01
1,2005,72192.4098671727,"01",2005-01-01
1,2006,30079.2869269949,"01",2006-01-01
1,2007,45368.7076654819,"01",2007-01-01
1,2008,20404.0582726327,"01",2008-01-01
1,2009,15323.9417989418,"01",2009-01-01
1,2010,36687.3942253449,"01",2010-01-01
1,2011,11460.8858166923,"01",2011-01-01
1,2012,35255.440654422,"01",2012-01-01
1,2013,28538.4554266645,"01",2013-01-01
1,2014,19645.6011730205,"01",2014-01-01
1,2015,8011.95445920304,"01",2015-01-01
1,2016,13005.8064516129,"01",2016-01-01
1,2017,26058.1989247312,"01",2017-01-01
1,2018,40802.7649769585,"01",2018-01-01
1,2019,26782.6612903226,"01",2019-01-01
1,2020,20767.5434243176,"01",2020-01-01
1,2021,23059.1173835125,"01",2021-01-01
2,1968,27298.5171050838,"01",1968-02-01
2,1969,19272.2723704867,"01",1969-02-01
2,1970,25632.9081632653,"01",1970-02-01
2,1971,35867.2917815775,"01",1971-02-01
2,1972,13589.1379310345,"01",1972-02-01
2,1973,22211.5683229814,"01",1973-02-01
2,1974,5495.02551020408,"01",1974-02-01
2,1975,31821.365914787,"01",1975-02-01
2,1976,39029.0854572714,"01",1976-02-01
2,1977,17706.7486085343,"01",1977-02-01
2,1978,8886.68831168831,"01",1978-02-01
2,1979,28908.5714285714,"01",1979-02-01
2,1980,11253.1593406593,"01",1980-02-01
2,1981,56230.1393728223,"01",1981-02-01
2,1982,29554.4642857143,"01",1982-02-01
2,1983,16874.1337719298,"01",1983-02-01
2,1984,36568.5577211394,"01",1984-02-01
2,1985,22657.6127819549,"01",1985-02-01
2,1986,51568.9285714286,"01",1986-02-01
2,1987,11149.3705528188,"01",1987-02-01
2,1988,31420.6896551724,"01",1988-02-01
2,1989,37777.6315789474,"01",1989-02-01
2,1990,18078.9408866995,"01",1990-02-01
2,1991,21926.1904761905,"01",1991-02-01
2,1992,19067.4876847291,"01",1992-02-01
2,1993,6852.19887955182,"01",1993-02-01
2,1994,26525.5102040816,"01",1994-02-01
2,1995,6436.52158652159,"01",1995-02-01
2,1996,35067.8620689655,"01",1996-02-01
2,1997,14389.4505494506,"01",1997-02-01
2,1998,12912.8105590062,"01",1998-02-01
2,1999,5871.58163265306,"01",1999-02-01
2,2000,19475.6947261663,"01",2000-02-01
2,2001,30957.1119356834,"01",2001-02-01
2,2002,11672.5595238095,"01",2002-02-01
2,2003,16206.402034498,"01",2003-02-01
2,2004,23782.7586206897,"01",2004-02-01
2,2005,27279.7118847539,"01",2005-02-01
2,2006,9627.85714285714,"01",2006-02-01
2,2007,7389.86486486487,"01",2007-02-01
2,2008,46488.765294772,"01",2008-02-01
2,2009,34346.4285714286,"01",2009-02-01
2,2010,13114.2634392634,"01",2010-02-01
2,2011,30992.9236912156,"01",2011-02-01
2,2012,12661.2180922526,"01",2012-02-01
2,2013,33340.3325123153,"01",2013-02-01
2,2014,30246.0714285714,"01",2014-02-01
2,2015,8584.46428571429,"01",2015-02-01
2,2016,41312.9310344828,"01",2016-02-01
2,2017,23016.1904761905,"01",2017-02-01
2,2018,31010.8673469388,"01",2018-02-01
2,2019,36331.2237394958,"01",2019-02-01
2,2020,36562.4137931034,"01",2020-02-01
2,2021,10582.3870798319,"01",2021-02-01
