AgencyCd,SiteNo,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityDepthHeightMeasureValue,ActivityDepthHeightMeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityCommentText,SampleCollectionMethodIdentifier,SampleCollectionMethodContext,SampleCollectionMethodName,ActivityStartDate,ActivityStartTime,ActivityStartTimeZoneCode,CharacteristicName,ResultMeasureValue,ResultMeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,USGSPCode,ResultSampleFractionText,ResultCommentText,ResultTemperatureBasisText,ResultDetectionConditionText,ResultDepthHeightMeasureValue,ResultDepthHeightUnitCode,ResultDepthAltitudeReferencePointText,ResultAnalyticalMethodIdentifier,ResultAnalyticalMethodIdentifierContext,ResultAnalyticalMethodName,MethodDescriptionText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasureValue,DetectionQuantitationLimitMeasureUnitCode,LaboratoryName,LabAnalysisStartDate,ResultLaboratoryCommentText,PreparationStartDate,Data Provided by
USGS,320011084121501,nwisga.01.99301282,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1993-08-30,17:30:00,EST,"Temperature, water",21.3,deg C,,,,Actual,,,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-GA
USGS,320011084121501,nwisga.01.99301282,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1993-08-30,17:30:00,EST,"Temperature, air, deg C",32.5,deg C,,,,Actual,,,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-GA
USGS,320011084121501,nwisga.01.99301282,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1993-08-30,17:30:00,EST,Barometric pressure,752,mm/Hg,,,,Actual,,,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-GA
USGS,320011084121501,nwisga.01.99301282,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1993-08-30,17:30:00,EST,Turbidity,0.20,NTU,,,,Actual,,Total,,,,,,,TBD01,USGS,"Turbidity, by turbidimeter",,,,,,Unknown,,,USGS-GA
USGS,320011084121501,nwisga.01.99301282,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1993-08-30,17:30:00,EST,Specific conductance,63,uS/cm @25C,,,,Actual,,Total,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-GA
USGS,320011084121501,nwisga.01.99301282,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1993-08-30,17:30:00,EST,"Acidity, (H+)",0.02532,mg/l,,,,Actual,,Total,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,,,,,Unknown,,,USGS-GA
USGS,320011084121501,nwisga.01.99301282,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1993-08-30,17:30:00,EST,Oxygen,5.6,mg/l,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-GA
USGS,320011084121501,nwisga.01.99301282,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1993-08-30,17:30:00,EST,Oxygen,64,% saturatn,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-GA
USGS,320011084121501,nwisga.01.99301282,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1993-08-30,17:30:00,EST,pH,4.6,std units,,,,Actual,,Total,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-GA
USGS,320011084121501,nwisga.01.99301282,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1993-08-30,17:30:00,EST,pH,4.9,std units,,,,Actual,,Total,,,,,,,EL006,USGS,"pH, lab, auto glass electrode",,,,,,Unknown,,,USGS-GA
